tick;positiveVolume [MW];negativeVolume [MW]
1216;4155;4332
1217;4155;4332
1218;4155;4332
1219;4155;4332
1220;4155;4332
1221;4155;4332
1222;4155;4332
1223;4155;4332
1224;4155;4332
1225;4155;4332
1226;4155;4332
1227;4155;4332
1228;4155;4332
1229;4155;4332
1230;4155;4332
1231;4155;4332
1232;4155;4332
1233;4155;4332
1234;4155;4332
1235;4155;4332
1236;4155;4332
1237;4155;4332
1238;4155;4332
1239;4155;4332
1240;4155;4332
1241;4155;4332
1242;4155;4332
1243;4155;4332
1244;4155;4332
1245;4155;4332
1246;4155;4332
1247;4155;4332
1248;4155;4332
1249;4155;4332
1250;4155;4332
1251;4155;4332
1252;4155;4332
1253;4155;4332
1254;4155;4332
1255;4155;4332
1256;4155;4332
1257;4155;4332
1258;4155;4332
1259;4155;4332
1260;4155;4332
1261;4155;4332
1262;4155;4332
1263;4155;4332
1264;4155;4332
1265;4155;4332
1266;4155;4332
1267;4155;4332
1268;4155;4332
1269;4155;4332
1270;4155;4332
1271;4155;4332
1272;4155;4332
1273;4155;4332
1274;4155;4332
1275;4155;4332
1276;4155;4332
1277;4155;4332
1278;4155;4332
1279;4155;4332
1280;4155;4332
1281;4155;4332
1282;4155;4332
1283;4155;4332
1284;4155;4332
1285;4155;4332
1286;4155;4332
1287;4155;4332
1288;4155;4332
1289;4155;4332
1290;4155;4332
1291;4155;4332
1292;4155;4332
1293;4155;4332
1294;4155;4332
1295;4155;4332
1296;4155;4332
1297;4155;4332
1298;4155;4332
1299;4155;4332
1300;4155;4332
1301;4155;4332
1302;4155;4332
1303;4155;4332
1304;4155;4332
1305;4155;4332
1306;4155;4332
1307;4155;4332
1308;4155;4332
1309;4155;4332
1310;4155;4332
1311;4155;4332
1312;4155;4332
1313;4155;4332
1314;4155;4332
1315;4155;4332
1316;4155;4332
1317;4155;4332
1318;4155;4332
1319;4155;4332
1320;4155;4332
1321;4155;4332
1322;4155;4332
1323;4155;4332
1324;4155;4332
1325;4155;4332
1326;4155;4332
1327;4155;4332
1328;4155;4332
1329;4155;4332
1330;4155;4332
1331;4155;4332
1332;4155;4332
1333;4155;4332
1334;4155;4332
1335;4155;4332
1336;4155;4332
1337;4155;4332
1338;4155;4332
1339;4155;4332
